Company,,Company Name
Isracard,,019Mobile
Matrix,,888holdings
Harel Insurance & Finance,,A&O Shearman
Ness Technologies,,ABC Disney
Bank Leumi,,ABN AMRO Bank
GAV Systems,,ACS Group
Amdocs,,AECOM
Log-On Software,,AMD
Sapiens,,ARD
Aman Group,,ARM
NICE,,ASML
Maccabi Health care Services,,ASR Nederland
Zap Group,,AT&T
Clalit Health Services,,ATOSS Software
Bank Hapoalim,,AXA
Israel Tax Authority,,AbCellera
Discount Bank,,Accenture
Infanity Labs,,Accenture Germany
Experis Israel,,Acciona
Sapiens International,,Accor
Magic Software Enterprises,,Achmea
Ethernity Networks,,Acubez
Elad Software Systems,,Adecco Israel
Mizrahi-Tefahot Bank,,Adyen
Migdal Insurance,,Agrint
Menora Mivtachim,,Ahoy! Insurance
Clal Insurance,,Air Canada
Taldor,,Airbus Defence and Space
Bynet Data Communications,,Albar ׳׳׳‘׳¨
Hachshara Insurance Company,,Alcon Systems Ltd
Psagot Investment House,,Algorand Foundation
Max It Finance,,Alior Bank
bizi,,Allianz
Sqlink,,Allot
CGS Israel (Computer Generated Solutions) ,,Allstate
Ness Technologies ,,Almog Software Solutions
Commit ,,Altice USA
Sapiens International ,,Altshuler Shaham
CodeOasis LTD,,Aman Group
Inetex LTD,,Amarel
EPAM Systems,,Amdocs
Software AG Israel,,American Express
ICTBIT Solutions ,,Apotex Inc.
YIT - Yedioth Tech,,Applied Materials
"""Yad 2""",,Arad Technologies
Arrow ECS Israel ,,Arrow ECS Israel
Fayrix ,,Arthur D. Little.
Elbit Systems ,,Asseco
 Intersog Israel,,Assicurazioni Generali
Testview,,AstraZeneca
CGS Israel,,Atos Netherlands
Ness Technologies,,Atresmedia
Commit,,AudienceWatch
Sapiens International,,AudioCodes
Adecco Israel,,Aurora Labs
Aman Group,,Aviva
Software AG Israel,,Ayalon Insurance & Finance
YIT (Yedioth Tech),,BAE Systems
Arrow ECS Israel,,BBC
ICTBIT Solutions,,BD Innovations
Fayrix,,BMC Software
Check Point Software,,BMO Financial Group
Elbit Systems,,BNP Paribas Cardif
Intersog Israel,,BNY Pershing
D.I.T – Israel,,BOA Ideas - Shopify Premier agency
Comverse,,BT Group
HBA System Integrators,,Babel Street
Philips,,Bagira
Testview,,Bain & Company
Banks in Israel,,Baker McKenzie
Bank of Israel,,Balfour Beatty
Bank Leumi,,Bank Hapoalim
Bank Hapoalim,,Bank Hapoalim
HOT,,Bank Leumi
Discount Bank,,Bank Masad
YES,,Bank Pekao
Mizrahi-Tefahot Bank,,Bank Yahav
FIBI,,Bank of America
Bank Yahav,,Bank of Israel
Bank of Jerusalem,,Bank of Jerusalem
Bank Masad,,Banks in Israel
Clal Insurance & Finance,,Barclays
Mako,,Barking Ad Media
Harel Insurance & Finance,,Bausch Health Companies
Migdal Group,,Bayerische Landesbank
Direct Insurance,,Bechtel Corporation
Ayalon Insurance & Finance,,Bell
The Phoenix Insurance,,Belong.Life
Hachshara Insurance,,Bennett Jones
Wobi Ltd,,Berkshire Hathaway
InsurTech Israel,,Bertelsmann
VFR,,Bezeq
Software Houses,,Bilfinger SE
KPMG Israel,,BillRun Technologies Ltd.
Matrix,,BlackBerry
"IEC - Israel Electric Corporation חברת החשמל לישראל בע""מ",,"Blake, Cassels & Graydon LLP"
Ness Technologies,,Bloomberg
HQ,,Boeing
Gav Systems,,Bombardier
supercom,,Booking Holdings
Yael - CloudTech,,Booz Allen Hamilton
compie_technologies,,Borden Ladner Gervais LLP (BLG)
Sapiens International,,Boston Consulting Group
cisco,,Bouygues Construction
one1-systems,,Bouygues Telecom
cellopark-israel,,BrightSource Energy
NICE Systems,,Broadcom
michlol-services-application---,,Bupa
Rafael Advanced Defense Systems,,Bynet Data Communications
Non-profit Organization,,Bynet Software Systems Ltd.
Elbit Systems,,CAE
applift-consulting,,CBC/Radio-Canada
botika-io,,CBRE Group
advanced-parking-limited,,CBS Corporation
Mercava,,CGI
Almog Software Solutions,,CGS Israel
memo-global,,CGS Israel (Computer Generated Solutions)
rayzone-group,,CIBC
IBI Capital LTD,,CTERA
Sapiens DECISION ,,CVS Health Aetna
Yedioth Ahronoth,,CWT
Unitask Group,,CYMOTIVE Technologies
Amarel,,Canada Life
MS3 Ltd,,Capgemini Germany
Sela,,Capital One
019Mobile,,Celeno
IntellForce,,Celestica
Dell EMC XtremIO,,Cellnex Telecom
Korentec Technologies By Yael Group,,Celonis
TAG Video Systems,,Cemantica
"Electrical Grid Monitoring, Inc.",,Centene Corporation
Xsense Ltd,,Centerity Systems
Log-On Software,,"Ceva, Inc."
Imco Defense Division- Nir-Or Israel Ltd,,Chain Reaction Ltd.
iMDsoft,,Channel 4
Moveo Group,,Charles Schwab Corporation
We Ankor,,Charter Communications
InfinityLabs R&D,,Check Point Software
PalWallet,,Cigna Health Group
G&S Banking Automation,,Cineplex
"Ceva, Inc.",,Cirque du Soleil
BillRun Technologies Ltd.,,Cisco Systems
cellcom tv,,Citibank/Citigroup
Albar אלבר,,Civil Service Commission
