Company Name Israel,,Company Name Global
8fig,,1Password
AccessiBe,,42 Technologies
Active Fence,,6sense
Acumen,,7shifts
Addionics,,A24 Films
Adience,,AB Tasty
Affogata,,Abnormal Security
Agmatix,,Abridge
Agora,,Accomplice
AI21 Labs,,Acorn Biolabs
Aidoc,,Acronis
Aim Security,,Acryl Data
,,ActionIQ
aiOla,,Actuate
,,Ada
,,Addepar
,,Addition Wealth
AKEYLESS,,Adept
Alcide,,Adthena
AlgoApps,,AdviceRobo
AlgoSec,,Adyen
AllCloud,,Aelo
Anagog,,Aerial
Anecdotes,,Afterpay
Annapurna Labs,,Agero
Anodot,,Airbyte
Any.do,,Aircall
AnyClip,,Airtable
Anyword,,Airtrain AI
Anzu,,Aiven
Apiiro,,Akamai
Apono,,Akhetonics
Aporia,,Albert
AppsFlyer,,Alchemy
April,,Aleph Alpha
Aqua Security,,Algolia
Aquant,,Algolux
Aqwise,,Alkemi
Arbe Robotics,,Alkira
Argus Cyber Security,,Allbirds
Armis,,Alliance Inspection Management
Artlist,,AlphaSense
Aspectiva,,Ambience Healthcare
Assured Allies,,Ambient.ai
Astrix Security,,Amdax
At-Bay,,Amplitude
,,Analog Photonics
Augury,,Anchorage Digital
Aurora Labs,,Anomalo
Authomize,,Anthropic
Autobrains,,Antidote.me
Autofleet,,Anyscale
AutoLeadStar,,Anysphere
,,AppleCart
,,Applied
Avanan,,Applied Intuition
Axiom Security,,AppLovin
Axis Security,,Applozic
Axonius,,ApplyBoard
Balance,,Apptronik
,,AppTV
,,APPVISORY
,,Arctic Wolf Networks
Beehero,,Area 1 Security
,,Arthur AI
Behalf,,Articulate
Beti,,Asana
Beyond Minds,,ASAPP
Bigabid,,Asimov
BigID,,Atlan
BigPanda,,Atom Bank
Binah.ai,,Attabotics
Biobeat,,Attensi
BioCatch,,Attentive
,,Atticus
,,Augmenta
,,Aura
,,Aura Vision
Bizzabo,,Aurora
BlazeMeter,,Aurora Solar
Bllink,,Authenteq
Blockaid,,Automat
Blue Dot,,Automattic
Blue White Robotics,,AutoX
BlueVine,,Avalon AI
Bookaway,,AVG
BrainQ,,Avidbots
BreezoMeter,,Aviro
BRIA.ai,,AX Semantics
Bridgecrew,,Backbase
Bridgewise,,Backslash
Bright Data,,Bamboo HR
Bright Security,,Base64
Bringg,,Baseline
Brodmann17,,Baseten
Buff,,Bench
Buildots,,Benchling
,,BenchSci
Capitolis,,Better.com
Carambola,,BetterCloud
Carbyne,,Betterment
CardinalOps,,Beyond Identity
Cato Networks,,BeyondID
,,BigML
Cervello,,Bilt Rewards
,,BioDock
ChargeAfter,,BiosensAI
,,Bitbond
Checkmarx,,Bitglass
Cheq,,BitSight
Chorus.ai,,Black Unicorn Factory
Cider Security,,BlackLine
,,Blanco
,,Blend
,,Block
Clarity,,BlockchainHelix
Claroty,,BlockDaemon
Clawdia.AI,,Bluecore
Clicktale,,Bolt
Cloudify,,BondLink
Cloudinary,,Booste
CloudShare,,Borrowell
Clutch Security,,BostonGene
cnvrg.io,,Botpress
Cognata,,Brainloop
Colleen.ai,,Branch
Compugen,,Brex
Connecteam,,Bridgefund
Contentsquare,,Bridgit
ControlUp,,BrightInsight
CopyLeaks,,Bubble
Coralogix,,BugShell
,,Build38
,,Bunkerhill Health
,,bunq
Cross River,,BUX
,,C2RO
Curv,,C3 AI
CyberArk,,CAIS
Cyberbit,,CAKNOW
Cybereason,,Callsign
Cycode,,Calltree
CyCognito,,Canvass AI
CYE,,Capchase
Cyera,,CarbonCure
Cylus,,Cart.com
Cymotive,,Carta
Cynerio,,Casetext
Cynet,,Cash App
Cyolo,,CashDirector
Cyren,,Catchpoint Systems
CytoReason,,Cedar
D-ID,,Celestial AI
DarioHealth,,Celonis
Darrow,,Census
Databand,,Cequence Security
DataRails,,Cerebras Systems
Dataloop,,Cerebri AI
Datorama,,Certifid
Dazz,,CertiK
Deci,,Certivity
Deel,,Certn
Deep Instinct,,Chain Reaction
Descope,,Chainguard
Diagnostic Robotics,,ChainSafe
DoiT International,,Character.AI
Dome9,,Checkout.com
Dropit,,Checkr
Duality Technologies,,Chillwall AI
Duda,,Chime
Dynamic Yield,,Chip
EarlySense,,Chroma
Earnix,,Circle
EasySend,,CircleCI
,,CirrusLabs
,,Clari
Elementor,,Clarifai
Eleos Health,,Clarify
ElMindA,,Clay
Emedgene,,Clear Street
Empathy,,ClearML
Endospan,,ClearMotion
enSilo,,Clearpath
Entro Security,,ClickHouse
Env0,,Clinithink
Epsagon,,CloudBees
Ermetic,,Cloudflare
eToro,,CloudHealth Technologies
Eureka Security,,Clover Network
EverAfter,,Cockroach Labs
EX.CO,,Cognition AI
Explorium,,Cohere
,,Cohesity
Feedvisor,,Coinbase
,,CoinList
Finaro,,Collibra
Finout,,Colossal
Fireblocks,,Comet AI
Firebolt,,Commercetools
Fiverr,,CommonWealth Fusion Systems
Flare,,Commure
Flow Security,,ComplyAdvantage
,,ConcertAI
,,Conduct
Forter,,Conductor
,,Confident AI
Frontegg,,Confluent
Fundbox,,Confluera
FundGuard,,Consensus Cloud Solutions
Funtomic,,ConsenSys
Fyber,,Contentful
,,Contrast Security
Garden.io,,Convex
Gauzy,,Convoso
Gett,,Cooper Pet Care
GigaSpaces Technologies,,Corelight
,,CoreWeave
GK8,,Coveo
Glassbox,,Cox Automotive
Gloat,,Crafty
Global-e,,Creamfinance
Gong,,CreatorIQ
Grain,,Cresta
,,Cribl
,,CrossLend
Grip Security,,CrowdRiff
Groundcover,,CrowdStreet
Guardicore,,Cruise
Guardknox,,CryptoNumerics
Guesty,,CryptoRefills
,,Current
Hailo,,Cursor
Healthy.io,,CuspAI
Helios,,CyberDirekt
Hello Heart,,CyberSeQ
Hexagate,,CyberTide
HiBob,,Dacora Motors
HiredScore,,Daily
HoneyBook,,DailyPay
Hotelmize,,Daito Authenticator
Houzz,,Dapper Labs
HUMAN,,Darktrace
Hunters,,Dashlane
Hysolate,,DataHub
Ibex Medical Analytics,,DataMinr
Identiq,,DataSine
Iguazio,,Dave
Illusive Networks,,dbt Labs
Ilyon,,dcbel
Imagry,,Decart
ImmunAI,,DeepL
Imonomy,,DeepMap
Incredibuild,,Devo
Indeni,,DigitalGenius
Infinidat,,DigitalOcean
InSoundz,,Diode
,,Discern
Intezer,,Discord
,,Dish Wireless
Intuition Robotics,,DMARCDKIM
Ionix,,Domino Data Lab
Ironscales,,Doordash
IronSource,,Dosh
Island,,DoxyChain
,,Dragos
IVIX,,Drako Motors
,,Dremio
JFrog,,Drop
Jifiti,,DTSecLabs
Jit,,Duck Creek
,,Duo Security
,,Dust Identity
,,eClinical Solutions
,,Eclypsium
,,ecobee
Justt,,ECOMPLY
K Health,,Edmunds
,,Eigen Technologies
Kahoona,,Elastic
Kaltura,,Electra
,,ElectronicsAI
,,ElevenLabs
Karamba Security,,EliseAI
KayHut,,Embark Technology
Kela,,Embracer
Kenshoo,,emproof
Kodem,,Enchant
Komodor,,EnCharge AI
Kornit Digital,,Enervee
Kovrr,,Enfusion
,,Enginsight
Laguna,,Engity
LakeFS,,Enigma
Lama AI,,EPAM Systems
Laminar,,ePayPolicy
LawGeex,,Estuary
LayerX Security,,Esusu
Leadspace,,Ethos
Legit Security,,Eudia
Lemonade,,EV Connect
Lendbuzz,,Everly Health
Let'sFesti,,EVgo
,,EvoluteIQ
Lightricks,,EvolutionaryScale
Lightrun,,Exabeam
LinearB,,Exodigo
Liveperson,,Expel
Logz.io,,Eye Security
Loora AI,,Faction Technology
Loris.ai,,Factmata
LSports,,Factris
Lumigo,,Fal
Luminate Security,,FalconX
Lusha,,FARx Group Limited
,,Fastly
,,FastPay
,,Feast
MantisVision,,Fendora
Masterschool,,FERNRIDE
Medigate,,Fero
Mend,,Figment
Melio,,Figure
,,Fin by Intercom
Mend,,Financial Network Analytics
,,FinCompare
Mine,,Findigs
Minute Media,,Finetune Learning
Mitiga,,Finix
Mobileye,,FINLEX
monday.com,,Finn AI
Monogoto,,Finom
Moon Active,,Firefly Aerospace
Moovit,,Fisker Automotive
Morphisec,,Five Degrees
,,Fivetran
,,Fixie
Nagomi Security,,Flatiron Health
Namogoo,,Fleetio
Nanit,,Flexport
Natural Intelligence,,FloQast
Navan,,Flutterwave
Navina,,Flybits
Nayax,,Fnality International
Nekuda,,Foodee
Neura,,Fora Travel
NeuReality,,Forcepoint
NeuroBlade,,Forethought
Neurosteer,,Forgent AI
Nexar,,Formal
Nexite,,FortifyData
Next Insurance,,Fortuna.ai
NextSilicon,,Forward Financing
,,Fountain
NFX,,Foursquare
,,Fourthline
Noma Security,,Framer
Notraffic,,fraud0
Novidea,,Fraudio
nsKnox,,Freenome
NSO Group,,FreeWire Technologies
nSure.ai,,Friss
Nucleai,,Front
Nucleix,,Frontify
Nuvei,,FTAPI
Nym Health,,FuelUp
Oasis Security,,FullStory
Obligo,,FundThrough
Octopai,,Fung Payments
odix,,Futurail
Okoora,,Fuze
Oligo Security,,Fyne
ONE ZERO BANK,,Fyntrix
OneView,,Fyxer AI
Oosto,,Gain Pro
OpenWeb,,GameChanger
Optibus,,Gemini
Optimove,,Genesis AI
Opus Security,,Genius Sports
Orbs,,Genow Ai
Orca Security,,Georepublic
Oribi,,GetYourGuide
,,Ghost Autonomy
Ottopia,,Gigwell
OurCrowd,,Glean
Outbrain,,Global Surface Intelligence
Overwolf,,Glydways
OX Security,,GOAT
Pagaya,,GoGuardian
Panax,,GoHenry
Panoply,,Grafana Labs
Panorays,,Grammarly
Papaya Global,,Granify
Paragon,,Granola
Parametrix,,Gravyty
Payem,,Green Dot
PayKey,,Greenhouse
Payoneer,,Groq
PayU,,Grow
Pecan,,Guard Technology
Pentera,,Guardio
Perception Point,,Gusto
Percepto,,Gyngr
Perimeter 81,,H2O.ai
PerimeterX,,Handshake
Permit.io,,Harmonic
Perrigo,,Harvey
Personetics,,HashiCorp
Phinergy,,Heap
Pinecone,,Hebbia
Pipl,,Hedra
Placer.ai,,Heyday
PlainID,,Heylogin
Planck,,Hi Marley
,,HighRadius
PlaxidityX,,Hippocratic AI
Playtika,,Hive
Pliops,,Hivebrite
Polar Security,,Hiverge
Pontera,,Holy Technologies
Port,,Honeycomb
Promo.com,,Hootsuite
Prompt Security,,Hopper
Prospera,,Horizon Blockchain
Protalix,,Hugging Face
proteanTecs,,Human Interest
Pyramid Analytics,,Humanloop
Qodo,,Huntress
